M‚tier;Grand secteur;Nombre de projets;Nombre de projets difficiles;Nombre de projets saisonniers
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Construction;12140;7810;1290
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Commerce;70;40;10
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Services aux entreprises;240;140;50
Ouvriers qualifi‚s des travaux publics, du b‚ton et de l'extraction;Services aux particuliers;360;50;60
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Agriculture;60;30;10
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Industrie;510;350;20
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Construction;31480;23690;3620
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Commerce;40;20;10
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Services aux entreprises;780;420;120
Ouvriers qualifi‚s du gros ?uvre du bƒtiment;Services aux particuliers;410;290;60
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Agriculture;30;10;20
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Industrie;1230;960;60
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Construction;42180;31060;3740
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Commerce;620;470;30
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Services aux entreprises;1240;740;90
Ouvriers qualifi‚s du second ?uvre du bƒtiment;Services aux particuliers;1070;460;320
Ouvriers qualifi‚s du textile et du cuir;Industrie;2740;1900;250
Ouvriers qualifi‚s du textile et du cuir;Construction;0;0;0
Ouvriers qualifi‚s du textile et du cuir;Commerce;90;70;10
Ouvriers qualifi‚s du textile et du cuir;Services aux entreprises;20;10;10
Ouvriers qualifi‚s du textile et du cuir;Services aux particuliers;390;270;180
Ouvriers qualifi‚s du travail du bois et de l'ameublement;Industrie;1830;1380;170
Ouvriers qualifi‚s du travail du bois et de l'ameublement;Construction;320;240;60
Ouvriers qualifi‚s du travail du bois et de l'ameublement;Commerce;20;0;0
Ouvriers qualifi‚s du travail du bois et de l'ameublement;Services aux entreprises;20;0;0
Ouvriers qualifi‚s du travail du bois et de l'ameublement;Services aux particuliers;10;0;10
Ouvriers qualifi‚s travaillant par enlŠvement de m‚tal;Industrie;6780;5400;270
Ouvriers qualifi‚s travaillant par enlŠvement de m‚tal;Construction;1190;790;110
Ouvriers qualifi‚s travaillant par enlŠvement de m‚tal;Commerce;50;30;10
Ouvriers qualifi‚s travaillant par enlŠvement de m‚tal;Services aux entreprises;160;130;0
Ouvriers qualifi‚s travaillant par enlŠvement de m‚tal;Services aux particuliers;40;30;20
Ouvriers qualifi‚s travaillant par formage de m‚tal;Agriculture;10;10;0
Ouvriers qualifi‚s travaillant par formage de m‚tal;Industrie;12440;9910;970
Ouvriers qualifi‚s travaillant par formage de m‚tal;Construction;1900;1410;120
Ouvriers qualifi‚s travaillant par formage de m‚tal;Commerce;130;70;0
Ouvriers qualifi‚s travaillant par formage de m‚tal;Services aux entreprises;580;400;40
Ouvriers qualifi‚s travaillant par formage de m‚tal;Services aux particuliers;70;50;0
Patrons et cadres d'h“tels, caf‚s, restaurants;Agriculture;20;10;10
Patrons et cadres d'h“tels, caf‚s, restaurants;Industrie;10;10;0
Patrons et cadres d'h“tels, caf‚s, restaurants;Commerce;40;10;20
Patrons et cadres d'h“tels, caf‚s, restaurants;Services aux entreprises;150;90;30
Patrons et cadres d'h“tels, caf‚s, restaurants;Services aux particuliers;2590;1350;560
Personnels d'‚tudes et de recherche;Industrie;4170;2690;20
Personnels d'‚tudes et de recherche;Construction;190;160;0
Personnels d'‚tudes et de recherche;Commerce;410;190;0
Personnels d'‚tudes et de recherche;Services aux entreprises;13860;7660;310
Personnels d'‚tudes et de recherche;Services aux particuliers;1040;340;60
Professionnels de l'action culturelle, sportive et surveillants;Agriculture;440;290;260
Professionnels de l'action culturelle, sportive et surveillants;Industrie;70;10;40
Professionnels de l'action culturelle, sportive et surveillants;Construction;20;10;10
Professionnels de l'action culturelle, sportive et surveillants;Commerce;130;90;110
Professionnels de l'action culturelle, sportive et surveillants;Services aux entreprises;5590;2350;4100
Professionnels de l'action culturelle, sportive et surveillants;Services aux particuliers;122070;46220;73290
Professionnels de l'action sociale et de l'orientation;Agriculture;30;0;10
Professionnels de l'action sociale et de l'orientation;Industrie;50;10;0
Professionnels de l'action sociale et de l'orientation;Construction;10;0;10
Professionnels de l'action sociale et de l'orientation;Commerce;10;0;0
Professionnels de l'action sociale et de l'orientation;Services aux entreprises;1300;580;160
Professionnels de l'action sociale et de l'orientation;Services aux particuliers;29630;13750;4050
Professionnels de la communication et de l'information;Agriculture;30;0;10
Professionnels de la communication et de l'information;Industrie;310;50;30
Professionnels de la communication et de l'information;Construction;30;10;0
Professionnels de la communication et de l'information;Commerce;630;210;20
Professionnels de la communication et de l'information;Services aux entreprises;6440;1790;1380
Professionnels de la communication et de l'information;Services aux particuliers;2770;870;760
Professionnels des arts et des spectacles;Industrie;500;220;20
Professionnels des arts et des spectacles;Construction;150;30;90
Professionnels des arts et des spectacles;Commerce;620;300;130
Professionnels des arts et des spectacles;Services aux entreprises;25840;3360;7950
Professionnels des arts et des spectacles;Services aux particuliers;74870;6710;37990
Professionnels du droit (hors juristes en entreprise);Construction;10;10;0
Professionnels du droit (hors juristes en entreprise);Commerce;20;0;20
Professionnels du droit (hors juristes en entreprise);Services aux entreprises;1780;930;50
Professionnels du droit (hors juristes en entreprise);Services aux particuliers;120;60;40
Professions para-m‚dicales;Agriculture;0;0;0
Professions para-m‚dicales;Industrie;690;520;10
Professions para-m‚dicales;Construction;0;0;0
Professions para-m‚dicales;Commerce;7120;4780;1000
Professions para-m‚dicales;Services aux entreprises;1550;580;110
Professions para-m‚dicales;Services aux particuliers;10630;6290;810
Secr‚taires;Agriculture;250;110;40
Secr‚taires;Industrie;2180;700;120
